ZNR,DATE,DTVMS,ISTCOVID19,BEZIRK,AUSPENDLER,POP,PKW_DENSITY,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet
1075,2024-11-01,34193.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,34193.0,34193.0,34193.0
1075,2024-12-01,31051.0,0.0,1220.0,0.1115353647993081,218116.74,423.3420350304678,0.0917406773987998,0.0,0.3526755408593094,0.2460429976802569,0.0004778868359643,0.0049138097765132,0.3041490874491561,,,,31051.0,31051.0,31051.0
1075,2025-01-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,29605.162330887048,28015.19000444875,25215.711860486743,29605.162330887048,28015.19000444875,25215.711860486743
1075,2025-02-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,31688.587214868865,29853.559574231484,28750.06839117921,31688.587214868865,29853.559574231484,28750.06839117921
1075,2025-03-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,32861.71307542472,30509.9525204932,29890.97517010462,32861.71307542472,30509.9525204932,29890.97517010462
1075,2025-04-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,33279.52326594555,30190.708555727557,29152.13153992977,33279.52326594555,30190.708555727557,29152.13153992977
1075,2025-05-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,33525.72892690188,31633.44402804462,31764.09741304449,33525.72892690188,31633.44402804462,31764.09741304449
1075,2025-06-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,34998.598556564306,33406.77193664745,34560.50193821774,34998.598556564306,33406.77193664745,34560.50193821774
1075,2025-07-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,33049.204239004874,31084.70250484716,32701.99856975304,33049.204239004874,31084.70250484716,32701.99856975304
1075,2025-08-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,31521.568970009568,29220.978202093484,30765.137103908677,31521.568970009568,29220.978202093484,30765.137103908677
1075,2025-09-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,33930.43826719787,31986.952126987155,33135.86291404298,33930.43826719787,31986.952126987155,33135.86291404298
1075,2025-10-01,,0.0,1220.0,0.1116790017625132,223881.92,423.3908235547425,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,33431.60901208001,31140.70165763537,32025.06628776884,33431.60901208001,31140.70165763537,32025.06628776884
