ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2021-01-14,41787,35389,6398,18.08,1608
2021-01-15,41738,36132,5606,15.52,1608
2021-01-16,29950,25924,4026,15.53,1608
2021-01-17,25521,22896,2625,11.46,1608
2021-01-18,40271,34473,5798,16.82,1608
2021-01-19,41787,35650,6137,17.21,1608
2021-01-20,41787,35727,6060,16.96,1608
2021-01-21,41787,35745,6042,16.9,1608
2021-01-22,41738,36552,5186,14.19,1608
2021-01-23,29950,26389,3561,13.49,1608
2021-01-24,25521,23388,2133,9.12,1608
2021-01-25,40271,34972,5299,15.15,1608
2021-01-26,41787,36138,5649,15.63,1608
2021-01-27,41787,36188,5599,15.47,1608
2021-01-28,41787,36165,5622,15.55,1608
2021-01-29,41738,36917,4821,13.06,1608
2021-01-30,29950,26690,3260,12.21,1608
2021-01-31,25521,23616,1905,8.07,1608
2021-02-01,45228,35123,10105,28.77,1608
2021-02-02,45743,36211,9532,26.32,1608
2021-02-03,45743,36184,9559,26.42,1608
2021-02-04,45743,36088,9655,26.75,1608
2021-02-05,46374,36774,9600,26.11,1608
2021-02-06,37189,26490,10699,40.39,1608
2021-02-07,30879,23371,7508,32.13,1608
2021-02-08,45228,34847,10381,29.79,1608
2021-02-09,45743,35918,9825,27.35,1608
2021-02-10,45743,35888,9855,27.46,1608
2021-02-11,45743,35806,9937,27.75,1608
2021-02-12,46374,36521,9853,26.98,1608
2021-02-13,37189,26280,10909,41.51,1608
2021-02-14,30879,23218,7661,33.0,1608
2021-02-15,45228,34763,10465,30.1,1608
2021-02-16,45743,35912,9831,27.38,1608
2021-02-17,45743,35970,9773,27.17,1608
2021-02-18,45743,35979,9764,27.14,1608
2021-02-19,46374,36789,9585,26.05,1608
2021-02-20,37189,26643,10546,39.58,1608
2021-02-21,30879,23673,7206,30.44,1608
2021-02-22,45228,35305,9923,28.11,1608
2021-02-23,45743,36534,9209,25.21,1608
2021-02-24,45743,36660,9083,24.78,1608
2021-02-25,45743,36727,9016,24.55,1608
2021-02-26,46374,37581,8793,23.4,1608
2021-02-27,37189,27465,9724,35.41,1608
2021-02-28,30879,24509,6370,25.99,1608
